,Nit No.,Title,Last Date,Published On
1131,4077,Digital polarimeter,30-01-2023,09-01-2023
1132,4079,HIGH PERFORMANCE LIQUID CHROMATOGRAPHY SYSTEM (HPLC),31-01-2023,10-01-2023
1133,4090,Misc. Civil works at Sonipat Campus (1. Repairing of Structural Glazing Work ),27-01-2023,17-01-2023
1134,4095,Renovation Work in various labs/rooms/offices etc. in academic area at IIT Delhi during the year of 2022-2023(Phase-II),27-01-2023,18-01-2023
1135,4096,Cleaning and Dis-infecting of water tanks (P.V.C/ R.C.C/ Steel in different Capacity) in Boys Hostel area at IIT Delhi,30-01-2023,19-01-2023
1136,4097,"Renovation of Microelectronics Laboratory in Block III-119B, Block III-316 and Block III-318, Academic Area at IIT Delhi including Civil, Electrical and Air Condition Works.",30-01-2023,19-01-2023
1137,4099,Rectification of short coming in Lifts & Lift lobbies identified by DFS officials at Udaigiri & Girnar hostels at IIT Delhi.,27-01-2023,19-01-2023
1138,4098,"SITC of 12 x 4.0 TR Floor Mounted ACs in Various labs of CRF Building, Sonipat campus. Including 5yrs. Comprehensive maintenance",30-01-2023,19-01-2023
1139,4101,Providing & Fixing of fire barrier rating 02 hours between two lifts of MSB at IIT Delhi,30-01-2023,20-01-2023
1140,4102,Refilling of different types of (Ceasefire make) fire extinguishers installed in different buildings at IIT Campus.,30-01-2023,20-01-2023
1141,4103,Digital Marketing for MBA Part Time Program IIT Delhi,30-01-2023,20-01-2023
1142,4104,S/I/T/C of RO Storage Tank and Associated Piping Work in Block-III and Block-IV Terrace at IIT Delhi.,30-01-2023,23-01-2023
1143,4093,Supply of manpower & Material for making new furniture items in Furniture workshop at IIT Delhi.,25-01-2023,18-01-2023
1144,4094,Upgradation of Electrical Installation work in 10 nos. vacate houses in West Campus at IIT Delhi.,25-01-2023,18-01-2023
1145,4089,"Setting up office of co-ordinator IIT UAE campus at IIIrd Floor, LHC Faculty lounge in academic area at IIT Delhi.",24-01-2023,16-01-2023
1146,4083,Renovation and Modification of Kalyan Mandapam near adhchini gate at IIT Delhi,23-01-2023,13-01-2023
1147,4085,: Providing and fixing anchor fastener to stone cladding in SIT Building at IIT Delhi.,23-01-2023,13-01-2023
1148,4082,"Setting up office of co-ordinator IIT UAE campus at IIIrd Floor, LHC Faculty lounge in academic area at IIT Delhi",20-01-2023,12-01-2023
1149,4088,"Maintenance and Operation of Electrical, Mechanical, Fire for Lecture Hall Complex at IIT Delhi. (Two Months)",20-01-2023,16-01-2023
1150,4064,Flue Gas Analyzer,19-01-2023,30-12-2022
1151,4065,Stereo Zoom microscope,19-01-2023,30-12-2022
1152,4066,Curing Chamber (Mini Dryer),19-01-2023,30-12-2022
1153,4067,Upright metallurgical microscope,19-01-2023,30-12-2022
1154,4080,"Preventive, Routine & breakdown maintenance of various capacity D.G Sets installed in Academic Area at IIT Delhi.",19-01-2023,11-01-2023
1155,4081,"Preventive, Routine & breakdown maintenance of various capacity D.G Sets installed in East Campus and West Campus of Residential Area at IIT Delhi.",19-01-2023,11-01-2023
1156,4084,S/T/C of LED Lights in TBIU Department at Synergy Building in Academic area at IIT Delhi.,19-01-2023,13-01-2023
1157,4064,Corrigendum in Flue Gas Analyzer,19-01-2023,13-01-2023
1158,4078,"Providing manpower for the post of Technical Superintendent (Plg), in Electrical Works  IIT Delhi",16-01-2023,09-01-2023
1159,4054,400 MHz NMR Spectrometer,16-01-2023,19-12-2022
1160,4070,Installation and validation of - One unit of prefabricated container based biosafety level 3 labs with fitting and accessories,16-01-2023,03-01-2023
1161,4072,"Setting Right of B, C and D type Vacant houses in East Campus at IIT Delhi",16-01-2023,06-01-2023
1162,4076,"Supply, Installation, Testing and Commissioning of Fresh Air Washer in the Kitchen Area in Jawalamukhi Hostel at IIT Delhi.",16-01-2023,09-01-2023
1163,4071,Setting up of research lab adjacent to WS-101 for department of energy science and Engineering in academic area at IIT Delhi,11-01-2023,04-01-2023
1164,4044,Multilayer 3D circuit printer,10-01-2023,13-12-2022
1165,4045,Biomechanical Test systems (Cyclic tensile and rotary),10-01-2023,13-12-2022
1166,4061,Composite  (Civil and Electrical) work for  up-gradation of 72 (Seventy  Two) number Vaishali Houses  in West campus area at IIT  Delhi during FY 2022-23/2023- 24.,10-01-2023,29-12-2022
1167,4055,Scanning Fabry-Perot Interferometer,09-01-2023,19-12-2022
1168,4056,Ultra-low-noise Tunable Laser module,09-01-2023,19-12-2022
1169,4050,Sky Imager with Radiation Shield and Cloud Analysis Software,06-01-2023,16-12-2022
1170,4060,Appointment of an Architect / Consultant for obtaining Approval from local bodies for / Regularization of Various Buildings Constructed at IIT Delhi without Municipal Sanction,06-01-2023,27-12-2022
1171,4069,"SITC of Split & Window Air-Conditioners in different Labs, Offices in IIT Delhi",06-01-2023,30-12-2022
1172,4040,PHOTOVOLTAIC EQE (IPCE) AND IQE MEASUREMENT SETUP,05-01-2023,08-12-2022
1173,4048,Pouch Cell Fabrication Unit,05-01-2023,15-12-2022
1174,4049,Battery Electrode and Testing machine,05-01-2023,15-12-2022
1175,4062,Replacement of Conventional light to LED light fixtures at Taxila Appt. Housing in IIT Delhi,05-01-2023,30-12-2022
1176,4063,"Comprehensive Annual Maintenance Contract for Package, Ductable and VRV/VRF Type ACs installed in various location at IIT Delhi.",05-01-2023,30-12-2022
1177,4062,Corrigendum_Replacement of Conventional light to LED light fixtures at Taxila Appt. Housing in IIT Delhi.,05-01-2023,05-01-2023
1178,4036,UV-Visible-NIR spectrophotometer system,04-01-2023,07-12-2022
1179,4043,VP Delta 2 Tactile Braille Embosser,03-01-2023,13-12-2022
1180,4033,PCB assembly facility,30-12-2022,02-12-2022
1181,74,S/I/T/C of Led Lights in Academic area at IIT Delhi,30-12-2022,26-12-2022
1182,74,Corrigendum-S/I/T/C of Led Lights in Academic area at IIT Delhi,30-12-2022,27-12-2022
1183,4038,Digital Marketing for MBA Part Time Program IIT Delhi,29-12-2022,08-12-2022
1184,4053,Construction of Temporary Composite structures Lab for Applied Mechanics Department between Block III & IV in academic area at IIT Delhi.,27-12-2022,19-12-2022
1185,4058,"Renovation of type IV-C, D-Type & C-Type Houses (05 Nos. Each Type Houses) in IIT Delhi Campus.",28-12-2022,21-12-2022
1186,4057,Providing writing benches for seminar Hall (MS-420) Physics Department in MS  building at IIT Delhi,27-12-2022,21-12-2022
1187,4059,S / I / T / C of LED Lights at various locations in Academic area at IIT Delhi.,28-12-2022,21-12-2022
1188,4029,Appointment of an Architect / Consultant for obtaining Approval from local bodies for / Regularization of Various Buildings Constructed at IIT Delhi without Municipal Sanction,26-12-2022,01-12-2022
1189,4046,"Replacement of 11KV HT Supply OCB type HT Panel and Ring Main Unit Panel with 11KV VCB type HT Panel boards in Computer Sub-Station, Hospital Sub-Station and New Boys Hostel Sub-Station at IIT Delhi.",26-12-2022,14-12-2022
1190,4051,"Preventive, Routine and breakdown maintenance of various capacity D.G Sets installed in East Campus and West Campus of Residential Area at IIT Delhi.",26-12-2022,16-12-2022
1191,4052,"Preventive, Routine an breakdown maintenance of various capacity D.G Sets installed in Academic Area",26-12-2022,16-12-2022
1192,4003,Optical Power Meter,25-12-2022,04-11-2022
1193,4020,"Supply, installation and commissioning of a high power blue diode laser system with accessories",21-12-2022,23-11-2022
1194,4027,High-frequency Linear Photodiode module,21-12-2022,30-11-2022
1195,4028,Wide Band Amplifier with Heat Sink,21-12-2022,30-11-2022
1196,4032,FDM 3D Printer,22-12-2022,01-12-2022
1197,4034,Rotational Stages,23-12-2022,02-12-2022
1198,4042,"Renovation of Type IV-C, D-Type & C-Type Houses (05 Nos. each Type Houses) in IIT Delhi Campus.",22-12-2022,12-12-2022
1199,4047,"Supply, Installation, Testing and Commissioning of New Cold Room in Udaiygiri Hostel at IIT Delhi.",21-12-2022,15-12-2022
1200,4017,Purchase of Numerically Controlled Programmable Precision Polishing Machine,19-12-2022,21-11-2022
1201,4025,Sky Imager,19-12-2022,28-11-2022
1202,4039,Construction of Temporary Composite Structure Lab for Applied Mechanics Department between block III and IV in academic area at IIT Delhi,19-12-2022,08-12-2022
1203,4037,Extension of IRD section at mezzanine floor in academic area at IIT Delhi.,15-12-2022,07-12-2022
1204,4041,Day to Day maintenance of general Electrical installation in west campus at IIT Delhi.,15-12-2022,08-12-2022
1205,4018,Purchase of 2-D and 3-D Digital Image Correlation (DIC) Software,14-12-2022,23-11-2022
1206,4019,Spin Coater for Lithography System,14-12-2022,23-11-2022
1207,4021,Fourier Transmission Infra-Red Spectrometer compatible with Glove Box,14-12-2022,23-11-2022
1208,4022,Fabrication of Membrane aerated biofilm reactor with accessories,14-12-2022,23-11-2022
1209,4026,Installation and third-party validation of - Two units of prefabricated container based biosafety level 3 labs with fitting and accessories,13-12-2022,30-11-2022
1210,4035,"SITC of Ventilation Arrangement for UPS and Compressor room in Central workshop, IIT Delhi",12-12-2022,06-12-2022
1211,4023,Refilling of different types of (Ceasefire make) fire extinguishers installed in different buildings at IIT Campus.,08-12-2022,24-11-2022
1212,4031,"Necessary repair and maintenance work in House No. IIA/15 (2, C-Street) like waterproofing treatment for roof slab, providing and laying floor tiles in servant room and outside area, located in East Campus Area at IIT Delhi",08-12-2022,30-11-2022
1213,4016,Particle Size & Zeta Potential Analyzer,07-12-2022,16-11-2022
1214,4030,"Providing and Fixing entrance wall with wide door in Foundry Lab in Central Workshop, Academic Area at IIT Delhi",07-12-2022,30-11-2022
1215,4002,3D Bioprinter,02-12-2022,04-11-2022
1216,4007,3D Metal Printer,05-12-2022,07-11-2022
1217,4001,PCB fabrication facility,01-12-2022,03-11-2022
1218,4024,Providing & Fixing of fire barrier rating 02 hours between two lifts of MSB at IIT Delhi.,01-12-2022,25-11-2022
1219,3999,128 channels electrodes Electroencephalography (EEG) with accessories,28-11-2022,31-10-2022
1220,4005,Crucible with Lid,28-11-2022,07-11-2022
1221,4006,Hi-Bi Fiber,28-11-2022,07-11-2022
1222,3997,Microscope ( with phase contrast and camera attachment),24-11-2022,27-10-2022
1223,4010,"Cleaning of Underground water storage tank (Main Reservoir, New   and Old Vaishali   U.G. Tank, Girnar U.G.tank, Tifac U.G. tank Himadri and Kailash U.G. tank) at IIT Delhi.",24-11-2022,11-11-2022
1224,4012,"Providing and Fixing G.I. chain link fencing and steel roof Shed for Plant protein isolates and meat alternative lab in Mahatma Gandhi Gramoday Parisar, Academic Area at IIT Delhi",24-11-2022,14-11-2022
1225,4013,"Providing and Fixing new Aluminium glazed/grill partition with door for foundation lab near Block V/JATC DRDO and in wall between VI-201 and VI-202, Block VI, Academic Area at IIT Delhi",24-11-2022,14-11-2022
1226,4014,Providing and fixing 50W flood light LED fittings in different sub-stations at IIT Delhi.,24-11-2022,14-11-2022
1227,3995,Acoustic Emission System,23-11-2022,26-10-2022
1228,4015,E.I work and LAN work Block V-315 in Academic area at IIT Delhi.,22-11-2022,15-11-2022
1229,3988,NANO-IMPRINT LITHOGRAPHY MACHINE WITH ACCESSORIES,16-11-2022,19-10-2022
1230,3990,Two Port Glove Box Workstation,18-11-2022,21-10-2022
1231,3996,Diffusion bonding setup,17-11-2022,27-10-2022
1232,4008,"SITC of Split & Window Air-Conditioners in different Labs, Offices in IIT Delhi",16-11-2022,09-11-2022
1233,4009,S / I / T / C of LED Lights in Computer Service Centre in Academic area at IIT Delhi.,17-11-2022,10-11-2022
1234,4011,Upgradation of Electrical Installation work in 10 nos. vacate houses in West Campus at IIT Delhi,18-11-2022,11-11-2022
1235,4004,"Electrical installation work at IHFC office 1st floor Vishwakarma Bhawan, IIT Delhi",14-11-2022,07-11-2022
1236,3991,Laptop,11-11-2022,21-10-2022
1237,3987,Laser displacement sensor,09-11-2022,19-10-2022
1238,4000,Servicing of ACBs in main LT Panels installed in various D.G. set rooms at IIT Delhi,09-11-2022,31-10-2022
1239,3978,High Temperature Thermoforming,07-11-2022,10-10-2022
1240,3980,Inertial Measurement Unit (IMU) System,08-11-2022,11-10-2022
1241,3984,Polymers for Thermoforming & Other Processing- Polyvinyl Chloride (PVC),07-11-2022,17-10-2022
1242,3985,Glove box,08-11-2022,18-10-2022
1243,3993,Providing tiles work in B & C Type houses  at East campus - IIT Delhi,07-11-2022,25-10-2022
1244,3998,"Pointing work of external wall facia and repair work of existing plinth protection in the lawn area of SeNSE lab located in Central Workshop building, Academic Area at IIT Delhi",04-11-2022,28-10-2022
1245,3975,Controlled/Inert Atmosphere Glove Box System,03-11-2022,06-10-2022
1246,3970,Time-Gated Raman Spectrometer System,31-10-2022,03-10-2022
1247,3982,Hiring of Kiosks/Cabins (on rental basis) during the placement of graduating students of IIT Delhi for the F.Y.2022-23.,02-11-2022,12-10-2022
1248,3981,Passive optics components,02-11-2022,12-10-2022
1249,3992,Providing and laying cement concrete platform near Gate 3 for installation of air quality monitoring station and three steel cages,01-11-2022,25-10-2022
1250,3994,Providing and laying of RCC Slab to be re-cast for toilet in ground floor at M1-No.6 and H1 in east campus at IIT Delhi,02-11-2022,26-10-2022
1251,3976,Water Chiller for Electron Beam Lithography System,27-10-2022,06-10-2022
1252,3977,Flue gas analyzer,27-10-2022,06-10-2022
1253,3989,E.I and Fan work in Computer Service Centre in Academic area at IIT Delhi. S.H. Electrical Works,26-10-2022,19-10-2022
1254,8677,Providing and fixing Electrical power point for installation of Pressure guage and Sensors for Water Security Study at different locations in the IIT Delhi Campus.,26-10-2022,20-10-2022
1255,3974,Mac Studio Ultra,25-10-2022,04-10-2022
1256,3986,SITC of VRF / VRV AC Unit in UG Drive & Transfer Research Lab at IIT Delhi (including CAMC),25-10-2022,18-10-2022
1257,3969,Motion Analyzing System using Brain Computer Interface,24-10-2022,26-09-2022
1258,3971,Large Build Platform 3D Printer,20-10-2022,29-09-2022
1259,3972,Force Plate for Gait Analysis,20-10-2022,29-09-2022
1260,3979,"Renovation work in various labs/rooms/offices etc. in academic area at IIT Delhi during the year 2022-23. (Phase- 1), Sub Head - Civil, Electrical and AC works",20-10-2022,10-10-2022
1261,3983,Rewinding and repairing of ceiling fans & exhaust fan of different size in hostel area.,20-10-2022,14-10-2022
1262,3968,Electro Physiology (EP) System,17-10-2022,26-09-2022
1263,3973,Standard Grade Enclosure for Ambient Air Quality Monitoring Station.,17-10-2022,03-10-2022
1264,3964,Unnat Bharat Abhiyan (UBA) website and ERP System development,13-10-2022,15-09-2022
1265,3967,Curing Chamber (Mini Dryer),12-10-2022,21-09-2022
1266,3960,"Appointment of an agency for Design, Site Preparation, Supply, Installation, Testing, Commissioning, Operations and Maintenance of Basic Infrastructure for the establishment of Data Centre at IIT Delhi, Sonipat Campus",06-10-2022,09-09-2022
1267,3965,Computer Color Matching System (CCM),07-10-2022,16-09-2022
1268,74,S/I/T/C of Emergency Switch in Lab No V-350 in Academic area at IIT Delhi.,04-10-2022,27-09-2022
1269,3961,Hybrid Plasma pyrolysis for waste to energy,03-10-2022,12-09-2022
1270,3962,Planetary Ball Mill,03-10-2022,12-09-2022
1271,71,Providing and fixing of CPVC pipe line with Associated work in A type quarters (Married Scholar student) and Avanti Apartment gate at IIT Delhi.,03-10-2022,30-09-2022
1272,3957,High-Throughput Multiple Reactors System,30-09-2022,02-09-2022
1273,3958,Tender for Motion Analyzing System using Brain Computer Interface,30-09-2022,02-09-2022
1274,3956,Automatic Multipoint BET analyzer Instrument,29-09-2022,01-09-2022
1275,3953,Supply and installation of 2D material manual transfer system for the fabrication of high-quality 2D crystal heterostructures,27-09-2022,30-08-2022
1276,3966,"Up gradation of Badminton Hall (SAC) and various courts (Lawn tennis court, Synthetic court, Volleyball court, Cricket Pitch, Basketball court, Basketball Practice pitch, Hockey ground) and sports facilities at IIT Delhi.",27-09-2022,20-09-2022
1277,3952,2D Particle Image Velocimetry System,22-09-2022,25-08-2022
1278,3955,Purchase of Muffle Furnace,21-09-2022,31-08-2022
1279,3963,"Providing manpower for electricity metering, billing allied work at IIT Delhi",21-09-2022,14-09-2022
1280,3954,1kW Hydrogen PEM Fuel cell,19-09-2022,29-08-2022
1281,3959,Stone flooring work in court yard at ITEC Sonipat campus IIT Delhi,15-09-2022,08-09-2022
1282,3949,Purchase of Mac Studio,13-09-2022,23-08-2022
1283,3946,Glove box,08-09-2022,18-08-2022
1284,3947,Narrowband Continuous Wave (CW) Laser,08-09-2022,18-08-2022
1285,3944,DIC Camera with Accessories,07-09-2022,17-08-2022
1286,3945,"Video Shooting, Editing and Animation of Characterization and Fabrication Facility for Nanoelectronics",07-09-2022,17-08-2022
1287,3948,SITC of Telephone Instrument and associated wiring for lift at different building at IIT Delhi.,05-09-2022,22-08-2022
1288,3951,"Providing new furniture in Labs, offices and faculty rooms in Academic Area at IIT Delhi.",05-09-2022,25-08-2022
1289,73,Providing Manpower for the post of Technical Superintendent (Plg) in Electrical Works IIT Delhi,05-09-2022,31-08-2022
1290,3950,Site Preparation For Liquid Nitrogen Storage Plant for CRF Lab. in Sonipat Campus,30-08-2022,23-08-2022
1291,3937,Micro-Computed Tomography (Micro-CT),29-08-2022,01-08-2022
1292,3938,"Appointment of an agency for Design, Site Preparation, Supply, Installation, Testing, Commissioning, Operations and Maintenance of Basic Infrastructure for the establishment of Data Centre at IIT Delhi, Sonipat Campus",29-08-2022,01-08-2022
1293,3940,Large Build Platform 3D Printer,29-08-2022,08-08-2022
1294,3943,Appointment of an Architect / Consultant for obtaining Approval from local bodies for / Regularization of Various Buildings Constructed at IIT Delhi without Municipal Sanction,29-08-2022,16-08-2022
1295,3942,Cleaning and dis-infecting of OH water tanks (PVC / RCC / Steel) of different capacity in East Campus at IIT Delhi,25-08-2022,16-08-2022
1296,3941,"Providing and Fixing G.I chain link Fencing, Cement Concrete platform and RCC slab in Clean Energy Lab. (CRDT Lab) in Micromodel Complex in Academic Area at IIT Delhi.",23-08-2022,16-08-2022
1297,3936,Induction Heating Furnace,22-08-2022,01-08-2022
1298,3939,"End to End solid waste and horticulture waste, management service (Sanitation) including door to door collection from residential, hostels, hospital, SAC, academic blocks, schools, guest houses and other buildings at IIT Delhi",16-08-2022,08-08-2022
1299,3926,3D Printers for Biomedical applications – Equipment 2 (for smaller polymeric and wax components),12-08-2022,15-07-2022
1300,3927,3D Printers for Biomedical applications – Equipment 3 (for composites),12-08-2022,15-07-2022
1301,3928,3D Printers for Biomedical applications – Equipment 4 (for surgical instrumentation),12-08-2022,15-07-2022
1302,3925,3D Printers for Biomedical applications Equipment 1 (for large polymeric parts),12-08-2022,15-07-2022
1303,3935,Providing and fixing sun control film in block-VI room no. 427 to 431 in Academic Area at IIT Delhi.,10-08-2022,29-07-2022
1304,3917,Field Emission Scanning Electron Microscope with accessories,03-08-2022,06-07-2022
1305,3922,Purchase of Laptop,03-08-2022,13-07-2022
1306,3923,Purchase of Studio Display,03-08-2022,13-07-2022
1307,3924,16-Channel Universal Data Acquisition System,03-08-2022,13-07-2022
1308,3929,Narrowband Continuous Wave (CW) Fiber Laser,05-08-2022,15-07-2022
1309,3930,Twin Shaft UHPC (Concrete) Mixer,05-08-2022,15-07-2022
1310,3931,"Integrated lab scale system for cooking, space heating and drying",05-08-2022,15-07-2022
1311,3934,Making of new Aluminium glazed partition in Block V-145 (Lab of CART Department) and Block I-233 (Lab of DBEB) in Academic Area at IIT Delhi.,04-08-2022,25-07-2022
1312,3933,"Rectification of short coming identified by DFS officials at Udaigiri, Girnar and Himadri hostels at IIT Delhi",25-07-2022,18-07-2022
1313,3932,Providing and Fixing of fire barrier rating 02 hours between two lifts of MSB at IIT Delhi,25-07-2022,18-07-2022
1314,3909,Field Emission Scanning Electron Microscope System with Spectroscopic Cathodoluminescence as a complete system,26-07-2022,28-06-2022
1315,3920,Standard Grade Enclosure for Ambient Air Quality Monitoring Station.,28-07-2022,07-07-2022
1316,3932,Providing and Fixing of fire barrier rating 02 hours between two lifts of MSB at IIT Delhi,25-07-2022,18-07-2022
1317,3933,"Rectification of short coming identified by DFS officials at Udaigiri, Girnar and Himadri hostels at IIT Delhi.",25-07-2022,18-07-2022
1318,3915,Empanelment of Service providers for the Online CEP Programmes at IIT Delhi,22-07-2022,01-07-2022
1319,3919,"End to End solid waste and horticulture waste, management service (Sanitation) including door to door collection from residential, hostels, hospital, SAC, academic blocks, schools, guest houses and other buildings at IIT Delhi.",21-07-2022,06-07-2022
1320,3921,E.I work in Metal 3D Printer Lab at IDDC in academic area at IIT Delhi,19-07-2022,12-07-2022
1321,3906,Signal Conditioning Amplifier System,13-07-2022,22-06-2022
1322,3907,HEPA Filters for Clean Rooms,13-07-2022,22-06-2022
1323,3912,A/R & M/O buildings in Academic Area at IIT Delhi.,13-07-2022,01-07-2022
1324,3918,Construction of temporary Lab for Textile Department in open area at Backside of Central workshop at IIT Delhi,14-07-2022,07-07-2022
1325,3897,Elemental Analyzer for CHNSO Analysis,07-07-2022,09-06-2022
1326,3899,Fourier Transform Optical Spectrum Analyzer,07-07-2022,09-06-2022
1327,3900,High Frequency-High Voltage Signal Generator and DAQ System,08-07-2022,10-06-2022
1328,3904,30KVA online UPS,07-07-2022,16-06-2022
1329,3908,Laser optical displacement measuring system,08-07-2022,24-06-2022
1330,3910,Procurement  and  Installation  of   IOE  Equipment  in  Micromodel  CRDT  at  IIT  Delhi,07-07-2022,29-06-2022
1331,3913,Providing and fixing wall tiles and removing old damaged plaster in Food and Bioprocess Engg. Lab in Gramodaya Parisar in Academic Area at IIT Delhi,08-07-2022,01-07-2022
1332,3916,Maintenance and Repairing of E.I. and fans in residential area east campus i/c street lighting and operation of 03 Nos. lifts and D.G Set in Himadri Hostel. (For Four Months),11-07-2022,04-07-2022
1333,3896,400 MHz NMR Spectrometer,06-07-2022,08-06-2022
1334,8665,Providing and fixing Precast RCC Three Seaters bench with hand rest (12 Nos.) at various locations in premises of Avanti Apartment at IIT Delhi.,06-07-2022,27-06-2022
1335,3903,INDIAN INSTITUTE OF TECHNOLOGY DELHI EMPLOYEES (Serving/Retired) HEALTH INSURANCE SCHEME 2022-23,05-07-2022,14-06-2022
1336,3911,"S/I/T/C of Maintenance Free Advance Chemical Gel Earthing in Lab No. V-350A, VI-342B and I-233 in Academic Area at IIT Delhi.",05-07-2022,29-06-2022
1337,3902,Printing materials compatible with Zebra ZXP series 9 printer to be used for printing RFID Card,01-07-2022,10-06-2022
1338,8664,"Providing Manpower for the post of Technical Superintendent(Plg), Electrical in IIT Delhi (01-07-2022 to 31-08-2022)",28-06-2022,22-06-2022
1339,72,Empanelment of Vendors for book binding services,24-06-2022,25-05-2022
1340,3893,Electrospinning,22-06-2022,01-06-2022
1341,3904,Procurement and Installation of IOE Equipment in Micromodel CRDT at IIT Delhi,13-06-2022,03-06-2022
1342,3901,"S/I/T/C of RO, Storage Tank and Associated Piping Work in New Boys and Girls Hostel at IIT Delhi.",17-06-2022,10-06-2022
1343,3882,Cryogen-free Dilution Refrigerator with superconducting magnet,20-06-2022,23-05-2022
1344,3884,Servo Hydraulic Fatigue Testing Machine 25 KN Capacity,20-06-2022,23-05-2022
1345,3885,High Speed Cameras with Accessories,21-06-2022,24-05-2022
1346,3892,Purchase of  Muffle Furnace,20-06-2022,30-05-2022
1347,3889,Micro Doser for Extruder,16-06-2022,26-05-2022
1348,3891,NAVITAR 12X LENS (MICROSCOPIC ZOOM LENS),16-06-2022,26-05-2022
1349,3898,Providing and Fixing of fire barrier rating 02 hours between two lifts of MSB at IIT Delhi.,16-06-2022,09-06-2022
1350,3901,"S/I/T/C of RO, Storage Tank and Associated Piping Work in New Boys and Girls Hostel at IIT Delhi.",17-06-2022,10-06-2022
1351,72,S/I/T/C of Maintenance Free Advance Chemical Gel Earthing at various locations in academic area at IIT Delhi.,16-06-2022,14-06-2022
1352,3886,Renovation work for room no 119B (Microelectronics Lab-I) Block III and room no 316 (Microelectronics Lab-II) Block III.,14-06-2022,24-05-2022
1353,3887,Purchase of Electrometer,15-06-2022,25-05-2022
1354,3888,Compression molding machine,15-06-2022,25-05-2022
1355,3895,Making prefabricated    temporary cabins (02nos.) at rooftop of MS Building and R.I. Park for setup of end stations in JATC projects at IIT Delhi.,14-06-2022,03-06-2022
1356,3883,Fabrication of UHPC mixer,13-06-2022,23-05-2022
1357,3894,Procurement and Installation of IOE Equipment in Micromodel CRDT at IIT Delhi,13-06-2022,03-06-2022
1358,3881,Crucible with Lid,09-06-2022,19-05-2022
1359,3878,Manual Cryotome,08-06-2022,18-05-2022
1360,3879,INVERTED FLUORESCENCE OPTICAL MICROSCOPE,08-06-2022,18-05-2022
1361,8,S/I/T/C of CPVC Pipe Line and other allied work in New Nalanda Hostel at IIT Delhi,08-06-2022,03-06-2022
1362,3877,Mobile Workstation Laptop,03-06-2022,13-05-2022
1363,7,Providing & fixing of new water cooler with CPVC pipe line near IRD unit at IIT Delhi,07-06-2022,03-06-2022
1364,3875,Microwave Imager Baseband Unit,02-06-2022,12-05-2022
1365,3890,Comprehensive maintenance of real time fuel monitoring system in DG Sets at IIT Delhi,02-06-2022,26-05-2022
1366,3862,Functional near-infrared spectroscopy (fNIRS) - wearable brain imaging technology device,30-05-2022,02-05-2022
1367,3873,16 inch laptop with care+,31-05-2022,10-05-2022
1368,3858,Automatic Multipoint BET analyzer Instrument,27-05-2022,29-04-2022
1369,3872,Fogging operation at IIT Delhi for 06 months,25-05-2022,10-05-2022
1370,3880,Servicing and Repairing of 3 x 350TR capacity cooling tower of LHC building at IIT Delhi,25-05-2022,18-05-2022
1371,3874,"Oil Bound Distempering, Plastic Emulsion Painting and Enamel painting work in Academic Area at IIT Delhi.",23-05-2022,11-05-2022
1372,3876,Making prefabricated temporary cabins (02nos.) at rooftop of MS Building and R.I. Park for setup of end stations in JATC projects at IIT Delhi,23-05-2022,12-05-2022
1373,3856,Battery Pack Testing System,19-05-2022,28-04-2022
1374,3849,Robot Base Platform with Integrated Manipulation Payload,17-05-2022,18-04-2022
1375,3850,High Power Pulsed Laser Sources,17-05-2022,18-04-2022
1376,3865,A/R and M/O Horticulture work during the year 2022-23,17-05-2022,02-05-2022
1377,3867,Construction of Temporary structure (Single Storey) in chemical Engineering Department in academic area at IIT Delhi,16-05-2022,04-05-2022
1378,3871,Comprehensive maintenance of real time fuel monitoring system in DG Sets at IIT Delhi.,17-05-2022,09-05-2022
1379,3854,UV/VIS Spectrophotometer,12-05-2022,21-04-2022
1380,3855,SIX AXIS FORCE/TORQUE SENSOR (LOAD CELL) WITH COMPATIBLE DAQ,12-05-2022,21-04-2022
1381,3870,Providing and Fixing GI wire chain link fencing in front of A-7 block to Gate No. 3 (Adchini Gate) in East Campus at IIT Delhi,12-05-2022,05-05-2022
1382,3848,Time correlated single photon counting (TCSPC) module,11-05-2022,13-04-2022
1383,3868,Comprehensive Maintenance of Voltas make water cooled screw chillers and operation of HVAC system at Lecture Hall Complex at IIT Delhi.,11-05-2022,04-05-2022
1384,3869,Replacement of High Pressure Booster Pump for main Guest House in residential area in east campus at IIT Delhi,11-05-2022,04-05-2022
1385,3857,Supply of Manpower for Civil and PHE Maintenance at IIT Delhi.,09-05-2022,29-04-2022
1386,3859,Providing power supply in various work shop at 99B building in Academic area at IIT Delhi.,09-05-2022,29-04-2022
1387,3860,"Servicing & repairing of cooling towers and chiller pipe line & condenser pipe line and other allied works main Building, SIT Building and Bharti Building at IIT Delhi.",09-05-2022,29-04-2022
1388,3861,"ITC of Split and Window Air-Conditioners in different Labs, Offices in IIT Delhi (2022-23)",09-05-2022,02-05-2022
1389,3863,Providing main LT cable connection to RI park building from 500 KVA transformer in RI park sub-station at IIT Delhi.,09-05-2022,02-05-2022
1390,3864,Providing power supply to IIIA-13 and 14 in Academic area at IIT Delhi.,09-05-2022,02-05-2022
1391,3866,Construction of small temporary shed for housing compressor in Lab. of Textile deptt. TX-138 in Academic Area at IIT Delhi.,09-05-2022,02-05-2022
